ID,Epic,Backlog Name,Role,User Story,Acceptance Criteria,FE,BE,INT,Total,Status,Sprint,Notes
1,Infrastructure Setup,CREATE D1 Database Schema,Engineer,"As an Engineer, I want to create the complete D1 database schema so that all backend services have a properly structured, migration-versioned data layer aligned with the ERD.","AC1: All 12 tables created in D1 (users, user_roles, resumes, resume_feedback, interview_questions, ai_usage, trade_grad_waitlist, employer_waitlist, contact_submissions, admin_audit_log, email_events, workflow_runs)
AC2: All foreign keys, CHECK constraints, and recommended indexes applied per ERD specification
AC3: Migration file versioned and idempotent (re-runnable without error)",0,2,0,2,Not Started,,
2,Infrastructure Setup,CONFIGURE R2 Storage Bucket,Engineer,"As an Engineer, I want to configure the R2 storage bucket so that resume PDFs can be stored with user-scoped paths and proper access controls.","AC1: R2 bucket created with private-by-default access policy
AC2: CORS policy configured for the frontend domain
AC3: Worker binding configured for direct R2 access without network hops",0,1,0,1,Not Started,,
3,Infrastructure Setup,CONFIGURE Worker Project & Environment,Engineer,"As an Engineer, I want the Worker project scaffolded with all bindings and environment secrets so that services deploy consistently across dev and production.","AC1: wrangler.toml configured with D1, R2, and environment bindings
AC2: Secrets set — Clerk keys, OpenRouter API key, Resend API key
AC3: Local dev environment functional with wrangler dev",0,1,0,1,Not Started,,
4,Authentication & Authorization,SETUP Clerk Frontend Auth,User,"As a User, I want to sign up and sign in using Clerk's authentication components so that I have a secure, modern authentication experience replacing the current Supabase Auth forms.","AC1: ClerkProvider wraps the React application with correct publishable key
AC2: Sign-in and Sign-up pages render Clerk pre-built components
AC3: Session state accessible via Clerk's useAuth() / useUser() hooks
AC4: ProtectedRoute component updated to use Clerk session check",3,0,1,4,Not Started,,
5,Authentication & Authorization,CREATE Clerk Webhook User Sync,System,"As the System, I want to receive Clerk webhook events so that user records are automatically synced to D1 on every signup, profile update, and deletion.","AC1: Worker endpoint receives user.created webhook and inserts into users table
AC2: Worker receives user.updated webhook and updates users record
AC3: Webhook signature verified using Clerk's SVIX library
AC4: If role mapping exists in Clerk metadata, user_roles is upserted",0,2,1,3,Not Started,,
6,Authentication & Authorization,CREATE JWT Verification Middleware,System,"As the System, I want all authenticated Worker endpoints to verify Clerk JWTs so that only valid, non-expired sessions can access protected resources.","AC1: JWT signature verified against Clerk JWKS endpoint (cached at edge)
AC2: Token expiry validated; expired tokens return 401
AC3: User ID extracted from JWT claims and injected into request context
AC4: Invalid or missing tokens return 401 with descriptive error",0,2,0,2,Not Started,,
7,Authentication & Authorization,CREATE Admin Role Gate Middleware,Admin,"As an Admin, I want role-based access control enforced at the Worker level so that only users with the admin role can access admin-only endpoints.","AC1: Middleware queries user_roles table for the authenticated user
AC2: Non-admin users receive 403 Forbidden
AC3: Admin check reusable across all admin Worker routes",0,1,1,2,Not Started,,
8,Resume Management,CREATE Resume Upload,User,"As a User, I want to upload my resume as a PDF so that I can receive AI-powered feedback and use it for interview prep.","AC1: File validation — PDF only, max 5 MB
AC2: PDF stored in R2 under user-scoped path ({user_id}/resume.pdf)
AC3: SHA-256 hash computed server-side for deduplication
AC4: Metadata record created in D1 resumes table
AC5: Previous active resume set to is_active = 0
AC6: Frontend re-wired from Supabase Storage to Worker upload endpoint",2,2,1,3,Not Started,,
9,Resume Management,READ Resume Details,User,"As a User, I want to see my uploaded resume details so that I know what file is currently active and its feedback status.","AC1: Display file name, upload date, file size
AC2: Show feedback status badge (Uploaded / Pending Review / Feedback Ready)
AC3: Scoped by authenticated user's ID",1,1,1,2,Not Started,,
10,Resume Management,DELETE Resume,User,"As a User, I want to delete my resume so that I can remove outdated files and upload a new version.","AC1: R2 object deleted on confirmed removal
AC2: D1 record soft-deleted (deactivated) to preserve audit trail
AC3: Associated feedback records display 'Resume removed' state",1,1,1,2,Not Started,,
